Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
188,-1.25,-2.4375,-0.4375,-0.05029297,-0.09326172,1.009766,0.1459961,-0.02148438,-0.5029297
189,-1.375,-2.375,-0.75,-0.05029297,-0.08935547,0.9985352,0.1479492,-0.01708984,-0.5102539
191,-1,-2.875,-0.3125,-0.05810547,-0.06982422,0.9868164,0.1479492,-0.01708984,-0.5102539
192,-1,-2.9375,-0.1875,-0.03076172,-0.07763672,1.001953,0.1479492,-0.01708984,-0.5102539
194,-1,-3.1875,0,-0.04248047,-0.07763672,0.9868164,0.1479492,-0.01708984,-0.5102539
195,-1,-3.5,0.4375,-0.05810547,-0.06201172,1.013672,0.1479492,-0.01708984,-0.5102539
197,-1.1875,-3.375,0.25,-0.05029297,-0.08935547,1.005859,0.1479492,-0.01708984,-0.5102539
198,-0.8125,-3.8125,0.3125,-0.06591797,-0.09326172,1.001953,0.1479492,-0.01708984,-0.5102539
200,-1.25,-3.75,0.375,-0.04248047,-0.06982422,1.009766,0.1435547,-0.01953125,-0.5078125
201,-0.8125,-3.125,0.5,-0.04638672,-0.07763672,1.033203,0.1435547,-0.01953125,-0.5078125
203,-1.5,-3.4375,0.5625,-0.05029297,-0.06982422,1.009766,0.1435547,-0.01953125,-0.5078125
204,-1.5,-2.875,1.125,-0.06591797,-0.09326172,1.013672,0.1616211,-0.01708984,-0.5029297
206,-1.4375,-2.375,1,-0.05029297,-0.06591797,0.9946289,0.1616211,-0.01708984,-0.5029297
207,-1.625,-2.1875,0.6875,-0.03466797,-0.07373047,0.9946289,0.1616211,-0.01708984,-0.5029297
209,-1.5625,-2,0.5625,-0.06201172,-0.06591797,1.005859,0.1523438,-0.01953125,-0.5004883
210,-1.0625,-1.6875,0.4375,-0.06591797,-0.08154297,0.9946289,0.1523438,-0.01953125,-0.5004883
212,-0.8125,-1.375,0.25,-0.05419922,-0.06591797,0.9985352,0.1523438,-0.01953125,-0.5004883
213,-0.75,-1.375,0,-0.05029297,-0.07373047,0.9907227,0.1523438,-0.01953125,-0.5004883
215,-0.875,-1.4375,-0.5,-0.05810547,-0.06591797,0.9985352,0.1523438,-0.01269531,-0.5078125
216,-0.375,-1.75,0,-0.07373047,-0.04638672,1.005859,0.1523438,-0.01269531,-0.5078125
218,-0.1875,-1.3125,-0.3125,-0.05810547,-0.05810547,1.001953,0.1523438,-0.01269531,-0.5078125
219,-0.4375,-1.3125,-0.375,-0.05029297,-0.06201172,1.029297,0.1523438,-0.01708984,-0.5053711
221,0.5,-1,-1.3125,-0.04248047,-0.09326172,0.9946289,0.1523438,-0.01708984,-0.5053711
222,0.4375,-0.4375,-1.0625,-0.07373047,-0.08544922,0.9907227,0.1523438,-0.01708984,-0.5053711
224,0,-0.1875,-0.5,-0.07373047,-0.08154297,1.001953,0.1479492,-0.02148438,-0.4960938
225,-1,0.6875,-0.6875,-0.07763672,-0.05810547,0.9985352,0.1479492,-0.02148438,-0.4960938
227,-0.625,0.5625,-0.5625,-0.06591797,-0.06591797,0.9985352,0.1479492,-0.02148438,-0.4960938
228,-0.5625,1.5625,-0.6875,-0.07373047,-0.06201172,1.009766,0.1479492,-0.02148438,-0.4960938
230,-0.5625,1.625,-0.375,-0.05419922,-0.05029297,1.009766,0.1479492,-0.02148438,-0.4960938
231,-0.0625,1.5625,0,-0.05419922,-0.04638672,0.9829102,0.1479492,-0.02148438,-0.4960938
233,0,1.4375,0,-0.05029297,-0.06982422,1.029297,0.1479492,-0.02148438,-0.4960938
234,0.0625,1.125,0.1875,-0.04248047,-0.05810547,1.005859,0.1411133,-0.01074219,-0.5004883
236,-0.3125,1.5,0.5,-0.04248047,-0.05029297,0.9907227,0.1411133,-0.01074219,-0.5004883
237,0.3125,1.25,0.6875,-0.06982422,-0.09716797,1.005859,0.1411133,-0.01074219,-0.5004883
239,-0.1875,1,1.0625,-0.07373047,-0.08935547,0.9946289,0.1459961,-0.02148438,-0.4985352
240,-0.4375,0.9375,1.125,-0.03076172,-0.07373047,0.9907227,0.1459961,-0.02148438,-0.4985352
242,-1.125,0.5625,1.25,-0.03076172,-0.07763672,0.9829102,0.1459961,-0.02148438,-0.4985352
243,-0.8125,0.3125,0.9375,-0.06591797,-0.06982422,1.001953,0.1503906,-0.01953125,-0.5151367
245,-0.6875,0,1,-0.05029297,-0.06982422,1.005859,0.1503906,-0.01953125,-0.5151367
246,-0.75,0,1,-0.05810547,-0.07373047,0.9907227,0.1503906,-0.01953125,-0.5151367
248,-0.625,0.5625,1.125,-0.03076172,-0.06201172,0.9907227,0.1503906,-0.01953125,-0.5151367
249,-0.8125,0.625,1.25,-0.05029297,-0.07373047,0.9946289,0.1479492,-0.006347656,-0.5126953
251,-0.375,1.5625,0.875,-0.06591797,-0.08935547,0.9985352,0.1479492,-0.006347656,-0.5126953
252,0.3125,1.4375,0.875,-0.06201172,-0.06982422,1.001953,0.1479492,-0.006347656,-0.5126953
254,0.0625,1.75,0.9375,-0.05419922,-0.06201172,1.001953,0.1523438,-0.02392578,-0.5126953
