Roll | phi | X (deg), Pitch | theta | Y (deg), Yaw | psi | Z (deg)
10.45624,4.638744,85.78108
10.35022,4.768379,85.00266
10.11925,4.829512,84.09617
9.754994,4.797116,83.01707
9.280283,4.712802,81.78832
8.762224,4.626289,80.45116
8.251366,4.545936,79.0528
7.706021,4.443293,77.67653
7.141373,4.327238,76.35103
6.546773,4.207002,75.02228
5.839696,4.061027,73.66599
5.038504,3.853951,72.30034
4.27852,3.608973,70.89193
3.604552,3.390155,69.43148
3.169054,3.282084,67.9398
2.983066,3.316192,66.43664
3.182962,3.620005,64.85454
2.854432,3.95329,63.50341
2.591708,3.776589,62.42893
2.223789,3.51736,61.41545
1.745775,3.424059,60.38522
1.277798,3.386496,59.35004
0.7391013,3.265244,58.39602
0.2017823,3.053932,57.58451
-0.3358445,2.797888,56.80986
-0.9054897,2.542117,56.04669
-1.484238,2.308514,55.25452
-2.061706,2.079079,54.43347
-2.646462,1.875835,53.53738
-3.231426,1.696465,52.53301
-3.90616,1.540101,51.43266
-4.657696,1.38994,50.26971
-5.440034,1.241889,48.99755
-6.37955,1.084708,47.63834
-7.43273,0.9542018,46.26663
-8.518757,0.8379672,44.97311
-9.521645,0.7492369,43.7887
-10.49152,0.6716853,42.679
-11.47369,0.5760931,41.60506
-12.37635,0.5316307,40.50934
-13.21528,0.5411679,39.35911
-14.01265,0.5480698,38.17418
-14.74343,0.4892895,36.90249
-15.52735,0.3452212,35.54594
-16.35944,0.1587598,34.12627
-17.17639,-0.05552109,32.68767
-17.92144,-0.2211361,31.27791
-18.56336,-0.3160833,29.90924
-19.09344,-0.3455858,28.60538
-19.43259,-0.3579394,27.38424
-19.66601,-0.3396541,26.33648
-19.77245,-0.227288,25.49883
-19.72178,0.02099898,24.79524
-19.52623,0.3675158,24.16915
-19.23773,0.7585307,23.61478
-18.91607,1.103373,23.18283
-18.55406,1.352213,22.84446
-18.20763,1.506125,22.58204
-17.86513,1.590007,22.34216
-17.58386,1.609636,22.1363
-17.38351,1.570192,21.99817
-17.29473,1.48108,21.93047
-17.24145,1.36215,21.90415
-17.19744,1.230172,21.85115
-17.16292,1.097975,21.73694
-17.06791,0.9910229,21.55636
-16.95048,0.885487,21.33956
-16.84992,0.7630081,21.12847
-16.72339,0.6648737,20.91728
-16.5635,0.6104292,20.69912
-16.37377,0.6226391,20.50273
-16.17756,0.6790819,20.34383
-15.99939,0.7627904,20.24979
-15.83436,0.8805722,20.22669
-15.64633,1.034317,20.26014
-15.39528,1.221364,20.30697
-15.07853,1.430195,20.33962
-14.72431,1.668898,20.32718
-14.29245,1.899353,20.27727
-13.85163,2.103076,20.19726
-13.42521,2.28714,20.07807
-12.99287,2.429163,19.90857
-12.54753,2.548119,19.70377
-12.07979,2.634564,19.4855
-11.61531,2.668305,19.25322
-11.16753,2.686885,19.03634
-10.68153,2.682932,18.81933
-10.20933,2.664546,18.59362
-9.758679,2.647721,18.36439
-9.308576,2.650718,18.13702
-8.83498,2.672814,17.90599
-8.349168,2.706882,17.69258
-7.834476,2.744703,17.51921
-7.246065,2.873174,17.36366
-6.62615,3.049294,17.22944
-5.992825,3.249147,17.08941
-5.308244,3.480693,16.86012
-4.598886,3.708723,16.57526
-3.831931,3.894183,16.2299
-3.006728,4.045538,15.8129
-2.144943,4.18579,15.32993
-1.244663,4.246336,14.79555
-0.3249299,4.284896,14.24352
0.547116,4.271301,13.75432
1.525131,4.171116,13.37401
2.623569,4.056051,13.05741
3.804473,3.952379,12.74327
5.026561,3.864875,12.44126
6.240548,3.818687,12.17233
7.430485,3.820129,11.95892
8.61799,3.817322,11.7777
9.762445,3.802077,11.5947
10.90759,3.769824,11.37168
11.98769,3.673609,11.08589
13.04471,3.520997,10.77369
14.06862,3.326771,10.40979
15.03861,3.073411,10.01511
15.97014,2.788837,9.55687
16.81747,2.498756,9.037211
17.60332,2.256766,8.489945
18.34428,2.086854,7.935211
19.06352,1.98048,7.391226
19.84292,1.879057,6.879806
20.62934,1.77437,6.461754
21.49406,1.654564,6.133446
22.44844,1.552594,5.844188
23.45051,1.455359,5.543854
24.41541,1.353792,5.2288
25.29391,1.287644,4.87446
26.03952,1.278695,4.503602
26.72798,1.255127,4.102006
27.34743,1.189984,3.6482
28.01182,1.074165,3.122948
28.728,0.9510719,2.518052
