Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
3.25,1.375,0.9375,0.01660156,0.01269531,1.016602,0.2514648,-0.03515625,-0.5551758
2.6875,1.0625,0.875,0.015625,0.02294922,1.015625,0.2470703,-0.03613281,-0.5664063
2.8125,1.125,0.875,0.009765625,0.01660156,1.015625,0.2470703,-0.03613281,-0.5664063
2.125,0.625,0.5,0.01464844,0.02587891,1.019531,0.2470703,-0.03613281,-0.5664063
2.5,0.875,0.3125,0.01269531,0.02978516,1.019531,0.2529297,-0.03857422,-0.5507813
2.375,1.25,-0.3125,0.01464844,0.03271484,1.021973,0.2529297,-0.03857422,-0.5507813
1.6875,0.375,-0.75,0.008789063,0.03173828,1.004883,0.2529297,-0.03857422,-0.5507813
1.875,-0.0625,-0.1875,0.009765625,0.03759766,1.007813,0.2529297,-0.03857422,-0.5507813
2.9375,0.0625,-0.1875,-0.004882813,0.02685547,1.008789,0.2529297,-0.03857422,-0.5507813
2.9375,-1.3125,0.625,0,0.02783203,1.014648,0.2529297,-0.03857422,-0.5507813
3.875,-0.125,0.9375,-0.008789063,0.03662109,1.021973,0.2529297,-0.03857422,-0.5507813
4.1875,-0.9375,1.0625,-0.00390625,0.03857422,1.029785,0.2456055,-0.03955078,-0.5732422
3.5625,-0.875,0.1875,-0.00390625,0.03955078,1.020996,0.2456055,-0.03955078,-0.5732422
3.8125,-0.625,0.8125,0.0009765625,0.03564453,1.019531,0.2456055,-0.03955078,-0.5732422
4.0625,-1.3125,0.1875,0.004882813,0.03564453,1.008789,0.2421875,-0.03173828,-0.5605469
3.8125,-1.3125,0.9375,0.00390625,0.03173828,1.010742,0.2421875,-0.03173828,-0.5605469
4.0625,-1.25,1,0.01464844,0.03857422,1.012695,0.2421875,-0.03173828,-0.5605469
3.1875,-0.6875,0.6875,0.01757813,0.02978516,1.021973,0.2480469,-0.03173828,-0.5620117
4.3125,0.125,0.4375,0.01757813,0.04052734,1.013672,0.2480469,-0.03173828,-0.5620117
3.5,0.75,-0.4375,0.01660156,0.04492188,1.006836,0.2480469,-0.03173828,-0.5620117
4,1.5625,0,0.01171875,0.03857422,1.012695,0.2480469,-0.03173828,-0.5620117
4.1875,2.1875,0,0.01464844,0.04199219,1.003906,0.2529297,-0.03613281,-0.5581055
4.375,2.1875,-0.5625,0.01074219,0.03564453,1.013672,0.2529297,-0.03613281,-0.5581055
4.0625,3,-2.0625,0.01171875,0.04052734,1.019531,0.2529297,-0.03613281,-0.5581055
4.125,3.75,-2.4375,0.01367188,0.04296875,1.013672,0.2514648,-0.04785156,-0.5566406
3.875,3.3125,-3.3125,0.01269531,0.04882813,1.015625,0.2514648,-0.04785156,-0.5566406
4.625,3.6875,-4.125,0.009765625,0.03955078,1.012695,0.2514648,-0.04785156,-0.5566406
4.125,3.9375,-4.0625,0.015625,0.04296875,1.015625,0.2490234,-0.04101563,-0.5595703
4.625,4.5625,-4.75,0.01367188,0.04052734,1.012695,0.2490234,-0.04101563,-0.5595703
5.5,5.25,-5.125,0.01171875,0.04199219,1.019531,0.2490234,-0.04101563,-0.5595703
6.375,6.3125,-5.5,0,0.04589844,1.018555,0.2490234,-0.04101563,-0.5595703
8.125,6.375,-4.625,0.0009765625,0.06152344,1.021973,0.2490234,-0.04101563,-0.5595703
10.0625,7.6875,-4.5,-0.002929688,0.06689453,1.021973,0.2490234,-0.04101563,-0.5595703
11.3125,8.375,-4.5,-0.001953125,0.07275391,1.023926,0.2490234,-0.04101563,-0.5595703
12.125,10,-4.1875,-0.002929688,0.07958984,1.028809,0.2529297,-0.03759766,-0.5522461
13,10.875,-5.625,-0.006835938,0.0859375,1.019531,0.2529297,-0.03759766,-0.5522461
13.3125,11.375,-6.5625,0.0009765625,0.08251953,1.033691,0.2529297,-0.03759766,-0.5522461
13.6875,12.1875,-9.375,-0.0009765625,0.07958984,1.012695,0.2514648,-0.03613281,-0.5566406
13.6875,13.8125,-10.625,-0.008789063,0.08056641,1.022949,0.2514648,-0.03613281,-0.5566406
14.1875,14.8125,-12.6875,-0.01171875,0.07666016,1.027832,0.2514648,-0.03613281,-0.5566406
14.3125,16.4375,-15.875,-0.009765625,0.08691406,1.031738,0.2514648,-0.03613281,-0.5566406
14.125,15.8125,-18.6875,-0.01855469,0.08154297,1.007813,0.2514648,-0.03613281,-0.5566406
13.0625,16.625,-21.4375,-0.01074219,0.07666016,1.019531,0.2514648,-0.03613281,-0.5566406
12.5,17.0625,-23.4375,-0.009765625,0.08496094,0.996582,0.2514648,-0.03613281,-0.5566406
11,17.4375,-26.8125,-0.006835938,0.1005859,1.011719,0.2563477,-0.04443359,-0.5551758
10.125,18.75,-30.3125,-0.01171875,0.1108398,1.00293,0.2563477,-0.04443359,-0.5551758
7.875,20,-35.8125,-0.01269531,0.1225586,1.000977,0.2563477,-0.04443359,-0.5551758
5.9375,21.9375,-41.125,-0.01660156,0.1147461,1.007813,0.2563477,-0.04345703,-0.5620117
4.3125,22.0625,-44.3125,-0.02197266,0.09765625,0.9946289,0.2563477,-0.04345703,-0.5620117
2.3125,22.5625,-48.625,-0.03076172,0.09667969,0.9946289,0.2563477,-0.04345703,-0.5620117
0.4375,22.625,-52.625,-0.02978516,0.0859375,0.9926758,0.2631836,-0.05712891,-0.5581055
-1.0625,23.625,-59.875,-0.02099609,0.1206055,1.044922,0.2631836,-0.05712891,-0.5581055
-4.1875,25.875,-68.5,-0.01367188,0.1279297,1.070801,0.2631836,-0.05712891,-0.5581055
-6.8125,27.75,-76.375,-0.0009765625,0.1049805,1.07373,0.2631836,-0.05712891,-0.5581055
-10.1875,27.9375,-81.3125,0.01660156,0.05859375,1.036621,0.2631836,-0.04882813,-0.5649414
-12.5,27.9375,-85.25,0.03369141,0.03271484,1.011719,0.2631836,-0.04882813,-0.5649414
-14.375,25.6875,-88.25,0.03759766,0.02392578,0.9975586,0.2631836,-0.04882813,-0.5649414
-16.375,26.875,-90.625,0.03857422,0.02880859,1.024902,0.2607422,-0.04199219,-0.5551758
-18.4375,29,-96.6875,0.03564453,0.02783203,1.023926,0.2607422,-0.04199219,-0.5551758
-20.5625,30.875,-97.4375,0.03662109,0.04052734,1.012695,0.2607422,-0.04199219,-0.5551758
-21.9375,32.5,-102.3125,0.01855469,0.01074219,1.023926,0.2783203,-0.04443359,-0.5620117
-24.875,34,-109.75,0.0078125,0.03271484,1.016602,0.2783203,-0.04443359,-0.5620117
-26.8125,34.8125,-110.75,-0.00390625,0.01464844,1.006836,0.2783203,-0.04443359,-0.5620117
-28.625,35.5625,-113.1875,-0.02490234,-0.01464844,0.987793,0.2783203,-0.04443359,-0.5620117
-32.8125,33.1875,-114.875,-0.03955078,-0.03466797,0.9887695,0.2758789,-0.04345703,-0.5605469
-36.4375,29.8125,-116.4375,-0.06396484,-0.03076172,0.9975586,0.2758789,-0.04345703,-0.5605469
-37.6875,29.5625,-120.6875,-0.0859375,-0.01367188,1.078613,0.2758789,-0.04345703,-0.5605469
-41,30,-126.8125,-0.08056641,0.015625,1.09082,0.2758789,-0.046875,-0.5620117
-42.8125,30.3125,-134.8125,-0.08251953,0.01464844,1.111816,0.2758789,-0.046875,-0.5620117
-44.625,28.125,-143.25,-0.08154297,0.02490234,1.100586,0.2758789,-0.046875,-0.5620117
-45.9375,28.125,-151.5625,-0.07861328,0.01367188,1.064941,0.2832031,-0.04101563,-0.5620117
-49.25,26.5,-159.625,-0.06298828,0.02197266,1.066895,0.2832031,-0.04101563,-0.5620117
-53.125,25,-167.375,-0.04394531,0.01464844,1.006836,0.2832031,-0.04101563,-0.5620117
-57.4375,24.1875,-174.0625,-0.04199219,0.01171875,1.009766,0.2832031,-0.04101563,-0.5620117
-61.6875,23.6875,-179.6875,-0.02978516,0.01953125,0.9916992,0.2832031,-0.04101563,-0.5620117
-64.25,22.5,-183.75,-0.01464844,0.01269531,0.9467773,0.2832031,-0.04101563,-0.5620117
-64,23.9375,-186,-0.02783203,0.005859375,0.956543,0.2832031,-0.04101563,-0.5620117
-54.5625,42.625,-187.625,-0.01171875,0.02099609,1.45166,0.2910156,-0.02832031,-0.5551758
-61.625,40.1875,-194.1875,-0.03857422,0.02978516,0.8959961,0.2910156,-0.02832031,-0.5551758
-63.25,38.1875,-199.0625,0.0009765625,0.09277344,0.9287109,0.2910156,-0.02832031,-0.5551758
-59.5625,36.5,-202.5,-0.03662109,0.04882813,0.9326172,0.296875,-0.0234375,-0.5566406
-58.6875,30.5625,-206.375,-0.06054688,0.01074219,0.9277344,0.296875,-0.0234375,-0.5566406
-57.25,26.375,-210.4375,-0.1108398,-0.008789063,0.9526367,0.296875,-0.0234375,-0.5566406
-54.9375,22.875,-215.4375,-0.1518555,-0.01464844,1.006836,0.296875,-0.0234375,-0.5566406
-51,21.0625,-221.8125,-0.1787109,-0.01953125,1.051758,0.296875,-0.0234375,-0.5566406
-48.5625,19.125,-226.625,-0.1889648,-0.02880859,1.031738,0.296875,-0.0234375,-0.5566406
