Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
620,0.0625,0,0,0.05615234,-0.07763672,0.9775391,-0.2119141,0.125,-0.4311523
621,-0.125,-0.125,-0.1875,0.05224609,-0.07373047,1.009277,-0.2119141,0.125,-0.4311523
625,0.125,0.1875,0.1875,0.04052734,-0.07763672,0.9819336,-0.2119141,0.125,-0.4311523
626,0,-0.125,0,0.06005859,-0.09375,1.001465,-0.2119141,0.125,-0.4311523
630,0.0625,-0.0625,0.0625,0.05615234,-0.07763672,1.009277,-0.2119141,0.125,-0.4311523
631,0.3125,0.0625,0,0.05224609,-0.06982422,1.013184,-0.2119141,0.125,-0.4311523
635,0,0,0,0.05224609,-0.07763672,0.9819336,-0.2119141,0.125,-0.4311523
636,0.125,0.1875,0,0.05615234,-0.08544922,1.005371,-0.206543,0.1171875,-0.4262695
640,0.0625,0.0625,-0.125,0.04833984,-0.07763672,0.9897461,-0.206543,0.1171875,-0.4262695
641,0,0.1875,0,0.06787109,-0.06201172,1.013184,-0.206543,0.1171875,-0.4262695
645,0.1875,-0.25,0.0625,0.06396484,-0.08154297,0.9975586,-0.2143555,0.1225586,-0.434082
646,0.125,0.125,-0.0625,0.05224609,-0.09765625,1.001465,-0.2143555,0.1225586,-0.434082
650,0,-0.125,-0.0625,0.05224609,-0.09375,1.009277,-0.2143555,0.1225586,-0.434082
651,0,0,-0.0625,0.06787109,-0.06982422,1.005371,-0.2167969,0.1323242,-0.4287109
655,0.0625,0,0,0.03662109,-0.07763672,0.9897461,-0.2167969,0.1323242,-0.4287109
656,-0.0625,0,0,0.06396484,-0.09375,1.009277,-0.2167969,0.1323242,-0.4287109
660,0,0,0,0.06787109,-0.06591797,0.9775391,-0.2167969,0.1323242,-0.4287109
661,0.125,-0.125,-0.0625,0.06005859,-0.08935547,0.9897461,-0.2167969,0.1323242,-0.4287109
665,0,0.0625,0,0.04833984,-0.07763672,1.013184,-0.2167969,0.1323242,-0.4287109
666,0.25,0,-0.125,0.06396484,-0.07373047,1.001465,-0.2167969,0.1323242,-0.4287109
670,0,-0.0625,0.0625,0.06005859,-0.07763672,0.9936523,-0.2041016,0.1147461,-0.434082
671,0,0,-0.0625,0.06005859,-0.07373047,1.001465,-0.2041016,0.1147461,-0.434082
675,0.1875,0.125,0.0625,0.06396484,-0.07763672,0.9936523,-0.2041016,0.1147461,-0.434082
676,0,-0.0625,0,0.05615234,-0.09375,0.9975586,-0.2119141,0.1225586,-0.418457
