Packet Number,Roll | Phi | X (degrees), Pitch | Theta | Y (degrees), Yaw | Psi | Z (degrees)
1672,-0.3927656,0.9983963,-0.5245118
1677,-0.4035213,1.008752,-0.5491223
1682,-0.4314804,0.9981125,-0.5528256
1687,-0.4663226,0.9769757,-0.5495459
1692,-0.4977861,0.9803359,-0.5463316
1697,-0.5326374,0.9732232,-0.5361052
1702,-0.5397041,0.9696437,-0.5466398
1707,-0.5606328,0.976588,-0.5363594
1712,-0.5466192,0.9591361,-0.5431511
1717,-0.5394957,0.9382049,-0.5394957
1722,-0.5288761,0.9172896,-0.5358149
1728,-0.5321334,0.8893635,-0.5217226
1733,-0.5422829,0.8544627,-0.4971558
1738,-0.5489645,0.8230778,-0.4725748
1743,-0.5556698,0.7881815,-0.4514704
1748,-0.572811,0.7533004,-0.419939
1753,-0.6004512,0.7148958,-0.3884444
1758,-0.6212136,0.6869622,-0.3674391
1763,-0.6628378,0.6766396,-0.3151703
1768,-0.7044784,0.6523239,-0.2698025
1773,-0.7182489,0.652532,-0.2314124
1778,-0.7181427,0.6596578,-0.2104729
1783,-0.711108,0.6597144,-0.2034382
1788,-0.7458726,0.6423711,-0.1720501
1793,-0.752759,0.6214704,-0.1579624
1798,-0.7456708,0.6075833,-0.1438445
1803,-0.7386093,0.5831583,-0.1366551
1808,-0.7280496,0.5552393,-0.1294294
1813,-0.7000393,0.5413049,-0.1257113
1818,-0.6512262,0.5551523,-0.1570301
1823,-0.6373834,0.5830306,-0.178101
1828,-0.6584307,0.6109916,-0.1783741
1833,-0.682964,0.6319141,-0.1821269
1838,-0.7179109,0.6529052,-0.1719594
1843,-0.7354624,0.6563079,-0.182573
1848,-0.763446,0.6597592,-0.1827563
1853,-0.7843867,0.645761,-0.1792838
1858,-0.7913114,0.6388283,-0.1687831
1863,-0.7946453,0.6180111,-0.1441765
1868,-0.7945392,0.6076415,-0.1266177
1873,-0.7875114,0.6111946,-0.1196103
1878,-0.7909714,0.611239,-0.1126346
1883,-0.7805703,0.6251425,-0.1266629
1889,-0.7734522,0.6358067,-0.1022151
1894,-0.7699744,0.656792,-0.1023368
