Packet Number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
479,-1.5625,3.625,1.0625,0,-0.05224609,0.9780273,0.2148438,0.03613281,-0.4462891
480,-1.625,3.0625,1.5625,0.007324219,-0.06005859,0.9819336,0.2148438,0.03613281,-0.4462891
484,-1.625,2.8125,1.4375,0.01513672,-0.04052734,0.9897461,0.2148438,0.03613281,-0.4462891
485,-1.875,2.8125,1.5625,0.01904297,-0.06005859,0.9936523,0.2148438,0.03613281,-0.4462891
489,-1.1875,2.3125,1.5,0.007324219,-0.04443359,0.9897461,0.2177734,0.03613281,-0.4414063
490,-0.5625,2.0625,1.25,-0.0078125,-0.04443359,1.005371,0.2177734,0.03613281,-0.4414063
494,0,2,1.1875,-0.01220703,-0.04443359,1.005371,0.2177734,0.03613281,-0.4414063
495,0.375,2.0625,0.9375,0.003417969,-0.06005859,0.9858398,0.2148438,0.04101563,-0.4414063
499,0.25,2.1875,1,-0.01611328,-0.06396484,1.005371,0.2148438,0.04101563,-0.4414063
500,-0.1875,2.5,0.6875,0.003417969,-0.04833984,1.001465,0.2148438,0.04101563,-0.4414063
504,0,2.6875,0.0625,0.007324219,-0.05224609,0.9858398,0.2148438,0.04101563,-0.4414063
505,0,3.1875,0,0.01904297,-0.05615234,0.9897461,0.2148438,0.04101563,-0.4414063
509,0.1875,3.5,-0.4375,0,-0.04443359,1.009277,0.2148438,0.04101563,-0.4414063
510,0.125,3.4375,-0.5625,0.01123047,-0.04833984,1.012695,0.2148438,0.04101563,-0.4414063
514,0.3125,3.875,-0.4375,0.01904297,-0.06396484,1.009277,0.2124023,0.04101563,-0.4462891
515,0.3125,4.0625,-0.75,0.01904297,-0.04833984,1.005371,0.2124023,0.04101563,-0.4462891
519,0.5625,4.1875,-0.8125,0.003417969,-0.06005859,0.9858398,0.2124023,0.04101563,-0.4462891
520,1,4.25,-1.1875,0.01513672,-0.04052734,0.9936523,0.2226563,0.03369141,-0.4438477
524,1,4.5625,-1.25,0.02685547,-0.02490234,1.020508,0.2226563,0.03369141,-0.4438477
525,1.625,4.5,-1.5,0,-0.04833984,1.001465,0.2226563,0.03369141,-0.4438477
529,1.9375,4.5625,-1.1875,0.007324219,-0.05615234,1.016602,0.2226563,0.03369141,-0.4438477
530,1.625,5,-1,0.01904297,-0.06396484,1.009277,0.2124023,0.04101563,-0.4438477
534,1.5625,5.3125,-1.1875,0.01904297,-0.04833984,1.005371,0.2124023,0.04101563,-0.4438477
535,1.625,5.5625,-1.125,-0.01611328,-0.04052734,0.9897461,0.2124023,0.04101563,-0.4438477
539,1.5625,5.75,-0.8125,0,-0.04052734,1.020508,0.2177734,0.04101563,-0.4462891
